Ticker,Company,AI_ValueChain,AI_Subsector,AI_Bottleneck,Bottleneck_Type,Technology_Moat,Pricing_Power,Revenue_Visibility,Customer_Concentration,Operating_Leverage,AI_Exposure,Valuation_Burden,Catalyst,Risk,Competitors,Major_Customers
NVDA,NVIDIA,AI Compute,GPU·AI platform,TRUE,GPU·AI platform,5,5,5,,,5,4,"Rubin 전환, inference·sovereign AI","고객 집중, 수출통제, ASIC, 전력",,
AMD,Advanced Micro Devices,AI Compute,GPU·CPU,TRUE,GPU·CPU,5,5,5,,,5,5,"MI400/Helios, ROCm 개선","CUDA 생태계, 공급·실행, 높은 멀티플",,
AVGO,Broadcom,AI Compute,Custom ASIC·Networking,TRUE,Custom ASIC·Networking,5,5,5,,,5,4,"다수 XPU 고객 ramp, 1.6T fabric","고객 집중, program timing, integration",,
MRVL,Marvell Technology,AI Compute,Custom ASIC·DSP,TRUE,Custom ASIC·DSP,5,5,5,,,5,5,"custom ASIC ramps, 1.6T optics","프로그램 지연, 고객 집중, 경쟁",,
INTC,Intel,파운드리,CPU·Foundry·accelerator,TRUE,CPU·Foundry·accelerator,5,5,5,,,5,3,"18A foundry, AI PC/edge",수율·CAPEX·점유율·실행,,
ARM,Arm Holdings,AI Compute,CPU IP,TRUE,CPU IP,5,5,5,,,5,5,"v9 adoption, CSS, edge AI","고평가, RISC-V, 고객 인소싱",,
QCOM,Qualcomm,Physical AI,Edge AI·Automotive,FALSE,Edge AI·Automotive,4,3,3,,,4,5,"AI PC/phone, automotive, robotics","Apple modem, 중국, edge monetization",,
AMAT,Applied Materials,반도체 장비,증착·패키징,TRUE,증착·패키징,5,5,5,,,5,4,HBM·3D packaging·backside power,"수출통제, WFE cycle",,
LRCX,Lam Research,반도체 장비,식각·증착,TRUE,식각·증착,5,5,5,,,5,4,"HBM4, NAND layer, advanced packaging","중국 규제, memory cycle",,
KLAC,KLA,반도체 장비,검사·계측,TRUE,검사·계측,5,5,5,,,5,4,2nm·HBM·advanced packaging inspection,"수출규제, fab timing",,
ASML,ASML Holding,반도체 장비,노광,TRUE,노광,5,5,5,,,5,4,"High-NA, 2nm/1.4nm, DRAM scaling","수출통제, 고객 CAPEX timing",,
TER,Teradyne,반도체 장비,테스트·로보틱스,TRUE,테스트·로보틱스,5,5,5,,,4,4,"complex SoC/HBM test, robotics recovery","test cyclicality, robotics demand",,
MU,Micron Technology,AI 메모리,HBM·DRAM·NAND,TRUE,HBM·DRAM·NAND,5,4,5,,,5,4,"HBM4E 1-gamma CY27, high-capacity memory","memory cycle, HBM yield, capex",,
ANET,Arista Networks,Networking,Ethernet switch·AI fabric,TRUE,Ethernet switch·AI fabric,5,4,5,,,5,5,"800G/1.6T, scale-up Ethernet","고객 집중, Broadcom/NVIDIA competition",,
CSCO,Cisco Systems,Networking,Switch·optics·security,TRUE,Switch·optics·security,5,4,5,,,5,4,"Silicon One, hyperscaler wins, AI security","cloud share, integration, mature base",,
CIEN,Ciena,Networking,DCI·optical transport,TRUE,DCI·optical transport,5,4,5,,,5,5,"1.6T coherent, campus interconnect","telco spending, customer concentration",,
LITE,Lumentum,Optical,laser·transceiver components,TRUE,laser·transceiver components,4,3,4,,,5,5,"1.6T ramp, CPO laser opportunity","극고평가, yield, customer concentration",,
COHR,Coherent,Optical,transceiver·laser,TRUE,transceiver·laser,4,3,4,,,5,5,"1.6T, silicon photonics, CPO","높은 멀티플, execution, leverage",,
FN,Fabrinet,Optical,광모듈 제조,TRUE,광모듈 제조,4,3,4,,,5,4,800G/1.6T outsourcing,"고객 집중, 낮은 자체 IP",,
APH,Amphenol,서버 부품,Connector·cable,FALSE,Connector·cable,4,3,4,,,3,3,"224G/448G links, high-power connectors","인수통합, cycle",,
TEL,TE Connectivity,서버 부품,Connector·power,FALSE,Connector·power,4,3,4,,,3,3,high-speed/power density,산업·자동차 사이클,,
DELL,Dell Technologies,데이터센터·클라우드,AI server OEM,TRUE,AI server OEM,5,4,4,,,5,4,"rack-scale deployments, enterprise AI","낮은 GM, working capital, competition",,
HPE,Hewlett Packard Enterprise,데이터센터·클라우드,AI systems·network,TRUE,AI systems·network,5,4,4,,,5,4,"private AI cloud, networking integration","margin, execution, competition",,
SMCI,Super Micro Computer,데이터센터·클라우드,AI server·rack,TRUE,AI server·rack,5,4,4,,,5,2,"rack-scale, liquid cooling","governance, competition, low margin",,
VRT,Vertiv,전력·냉각,UPS·liquid cooling·CDU,TRUE,UPS·liquid cooling·CDU,4,4,5,,,5,5,"high-density liquid cooling, grid-to-chip","valuation, project execution, supply",,
MOD,Modine Manufacturing,전력·냉각,Cooling,TRUE,Cooling,4,4,5,,,5,5,"liquid cooling, capacity expansion","고평가, 경쟁, execution",,
NVT,nVent Electric,전력·냉각,Power distribution·liquid cooling,TRUE,Power distribution·liquid cooling,4,4,5,,,5,4,"liquid cooling acquisition, busway","integration, industrial cycle",,
ETN,Eaton,전력·에너지,Switchgear·UPS·power quality,TRUE,Switchgear·UPS·power quality,4,5,5,,,4,4,"data center power, grid modernization","valuation, project delays, cycle",,
GEV,GE Vernova,전력·에너지,Generation·grid,TRUE,Generation·grid,4,5,5,,,4,4,"gas generation, grid equipment, services","project execution, policy, valuation",,
HUBB,Hubbell,전력·에너지,Grid components,TRUE,Grid components,4,5,5,,,3,4,"T&D hardening, interconnection","utility budgets, storm timing",,
PWR,Quanta Services,전력·에너지,EPC·grid construction,TRUE,EPC·grid construction,4,5,5,,,4,5,"grid buildout, generation interconnect","execution, labor, valuation",,
MSFT,Microsoft,데이터센터·클라우드,Hyperscaler·AI software,TRUE,Hyperscaler·AI software,5,4,4,,,5,4,"Azure capacity, Copilot/agents","capex ROI, model dependency, regulation",,
AMZN,Amazon,데이터센터·클라우드,Hyperscaler·custom silicon,TRUE,Hyperscaler·custom silicon,5,4,4,,,5,4,"Trainium, Bedrock, inference","capex depreciation, competition, power",,
GOOGL,Alphabet,데이터센터·클라우드,Hyperscaler·model·ASIC,TRUE,Hyperscaler·model·ASIC,5,4,4,,,5,2,"TPU, Gemini, agent/search monetization","search cannibalization, capex ROI, antitrust",,
META,Meta Platforms,Foundation Model,LLM·ads inference,TRUE,LLM·ads inference,5,3,4,,,5,4,"Llama, recommendation, AI glasses","capex ROI, regulation, model monetization",,
